"indicateur","sexe","région","diplôme","groupe-d-age","Unit","Date","Value"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Sahel","Non concerné","Non concerné","Nombre","2019","49"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Sahel","Non concerné","Non concerné","Nombre","2020","37"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Sahel","Non concerné","Non concerné","Nombre","2021","28"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Sahel","Non concerné","Non concerné","Nombre","2022","16"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Sud-Ouest","Non concerné","Non concerné","Nombre","2017","112"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Sud-Ouest","Non concerné","Non concerné","Nombre","2018","115"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Sud-Ouest","Non concerné","Non concerné","Nombre","2019","98"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Sud-Ouest","Non concerné","Non concerné","Nombre","2020","72"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Sud-Ouest","Non concerné","Non concerné","Nombre","2021","118"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Feminin","Sud-Ouest","Non concerné","Non concerné","Nombre","2022","98"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Ensemble","Non concerné","Non concerné","Nombre","2017","17163"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Ensemble","Non concerné","Non concerné","Nombre","2018","16619"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Ensemble","Non concerné","Non concerné","Nombre","2019","14820"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Ensemble","Non concerné","Non concerné","Nombre","2020","8723"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Ensemble","Non concerné","Non concerné","Nombre","2021","13149"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Ensemble","Non concerné","Non concerné","Nombre","2022","14024"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Boucle du Mouhoun","Non concerné","Non concerné","Nombre","2017","595"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Boucle du Mouhoun","Non concerné","Non concerné","Nombre","2018","294"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Boucle du Mouhoun","Non concerné","Non concerné","Nombre","2019","338"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Boucle du Mouhoun","Non concerné","Non concerné","Nombre","2020","131"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Boucle du Mouhoun","Non concerné","Non concerné","Nombre","2021","201"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Boucle du Mouhoun","Non concerné","Non concerné","Nombre","2022","213"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Cascades","Non concerné","Non concerné","Nombre","2017","379"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Cascades","Non concerné","Non concerné","Nombre","2018","389"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Cascades","Non concerné","Non concerné","Nombre","2019","233"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Cascades","Non concerné","Non concerné","Nombre","2020","149"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Cascades","Non concerné","Non concerné","Nombre","2021","220"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Cascades","Non concerné","Non concerné","Nombre","2022","165"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre","Non concerné","Non concerné","Nombre","2017","9367"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre","Non concerné","Non concerné","Nombre","2018","10752"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre","Non concerné","Non concerné","Nombre","2019","8143"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre","Non concerné","Non concerné","Nombre","2020","5026"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre","Non concerné","Non concerné","Nombre","2021","7791"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre","Non concerné","Non concerné","Nombre","2022","8516"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre-Est","Non concerné","Non concerné","Nombre","2017","449"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre-Est","Non concerné","Non concerné","Nombre","2018","337"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre-Est","Non concerné","Non concerné","Nombre","2019","476"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre-Est","Non concerné","Non concerné","Nombre","2020","155"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre-Est","Non concerné","Non concerné","Nombre","2021","601"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre-Est","Non concerné","Non concerné","Nombre","2022","362"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre-Nord","Non concerné","Non concerné","Nombre","2017","430"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre-Nord","Non concerné","Non concerné","Nombre","2018","336"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre-Nord","Non concerné","Non concerné","Nombre","2019","288"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre-Nord","Non concerné","Non concerné","Nombre","2020","303"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre-Nord","Non concerné","Non concerné","Nombre","2021","233"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre-Nord","Non concerné","Non concerné","Nombre","2022","640"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre-Ouest","Non concerné","Non concerné","Nombre","2017","1015"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre-Ouest","Non concerné","Non concerné","Nombre","2018","694"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre-Ouest","Non concerné","Non concerné","Nombre","2019","983"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre-Ouest","Non concerné","Non concerné","Nombre","2020","538"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre-Ouest","Non concerné","Non concerné","Nombre","2021","667"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre-Ouest","Non concerné","Non concerné","Nombre","2022","755"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre-Sud","Non concerné","Non concerné","Nombre","2017","420"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre-Sud","Non concerné","Non concerné","Nombre","2018","155"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre-Sud","Non concerné","Non concerné","Nombre","2019","210"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre-Sud","Non concerné","Non concerné","Nombre","2020","106"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre-Sud","Non concerné","Non concerné","Nombre","2021","202"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Centre-Sud","Non concerné","Non concerné","Nombre","2022","179"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Est","Non concerné","Non concerné","Nombre","2017","321"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Est","Non concerné","Non concerné","Nombre","2018","171"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Est","Non concerné","Non concerné","Nombre","2019","306"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Est","Non concerné","Non concerné","Nombre","2020","260"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Est","Non concerné","Non concerné","Nombre","2021","264"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Est","Non concerné","Non concerné","Nombre","2022","273"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Hauts-Bassins","Non concerné","Non concerné","Nombre","2017","2655"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Hauts-Bassins","Non concerné","Non concerné","Nombre","2018","2285"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Hauts-Bassins","Non concerné","Non concerné","Nombre","2019","2559"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Hauts-Bassins","Non concerné","Non concerné","Nombre","2020","1385"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Hauts-Bassins","Non concerné","Non concerné","Nombre","2021","2046"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Hauts-Bassins","Non concerné","Non concerné","Nombre","2022","1869"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Nord","Non concerné","Non concerné","Nombre","2017","482"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Nord","Non concerné","Non concerné","Nombre","2018","257"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Nord","Non concerné","Non concerné","Nombre","2019","361"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Nord","Non concerné","Non concerné","Nombre","2020","206"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Nord","Non concerné","Non concerné","Nombre","2021","267"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Nord","Non concerné","Non concerné","Nombre","2022","215"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Plateau Central","Non concerné","Non concerné","Nombre","2017","331"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Plateau Central","Non concerné","Non concerné","Nombre","2018","542"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Plateau Central","Non concerné","Non concerné","Nombre","2019","491"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Plateau Central","Non concerné","Non concerné","Nombre","2020","151"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Plateau Central","Non concerné","Non concerné","Nombre","2021","269"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Plateau Central","Non concerné","Non concerné","Nombre","2022","582"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Sahel","Non concerné","Non concerné","Nombre","2017","371"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Sahel","Non concerné","Non concerné","Nombre","2018","126"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Sahel","Non concerné","Non concerné","Nombre","2019","146"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Sahel","Non concerné","Non concerné","Nombre","2020","100"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Sahel","Non concerné","Non concerné","Nombre","2021","97"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Sahel","Non concerné","Non concerné","Nombre","2022","50"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Sud-Ouest","Non concerné","Non concerné","Nombre","2017","348"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Sud-Ouest","Non concerné","Non concerné","Nombre","2018","281"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Sud-Ouest","Non concerné","Non concerné","Nombre","2019","286"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Sud-Ouest","Non concerné","Non concerné","Nombre","2020","213"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Sud-Ouest","Non concerné","Non concerné","Nombre","2021","291"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Total","Sud-Ouest","Non concerné","Non concerné","Nombre","2022","205"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Ensemble","Non concerné","Non concerné","Nombre","2017","10923"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Ensemble","Non concerné","Non concerné","Nombre","2018","8769"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Ensemble","Non concerné","Non concerné","Nombre","2019","8450"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Ensemble","Non concerné","Non concerné","Nombre","2020","4909"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Ensemble","Non concerné","Non concerné","Nombre","2021","6923"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Ensemble","Non concerné","Non concerné","Nombre","2022","7846"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Boucle du Mouhoun","Non concerné","Non concerné","Nombre","2017","452"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Boucle du Mouhoun","Non concerné","Non concerné","Nombre","2018","198"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Boucle du Mouhoun","Non concerné","Non concerné","Nombre","2019","236"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Boucle du Mouhoun","Non concerné","Non concerné","Nombre","2020","93"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Boucle du Mouhoun","Non concerné","Non concerné","Nombre","2021","116"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Boucle du Mouhoun","Non concerné","Non concerné","Nombre","2022","116"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Cascades","Non concerné","Non concerné","Nombre","2017","267"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Cascades","Non concerné","Non concerné","Nombre","2018","302"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Cascades","Non concerné","Non concerné","Nombre","2019","164"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Cascades","Non concerné","Non concerné","Nombre","2020","96"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Cascades","Non concerné","Non concerné","Nombre","2021","137"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Cascades","Non concerné","Non concerné","Nombre","2022","110"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Centre","Non concerné","Non concerné","Nombre","2017","5582"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Centre","Non concerné","Non concerné","Nombre","2018","5432"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Centre","Non concerné","Non concerné","Nombre","2019","4356"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Centre","Non concerné","Non concerné","Nombre","2020","2628"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Centre","Non concerné","Non concerné","Nombre","2021","3922"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Centre","Non concerné","Non concerné","Nombre","2022","4684"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Centre-Est","Non concerné","Non concerné","Nombre","2017","275"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Centre-Est","Non concerné","Non concerné","Nombre","2018","171"
"Effectif des demandeurs d’emplois enregistrés à l'ANPE par région selon le sexe","Masculin","Centre-Est","Non concerné","Non concerné","Nombre","2019","310"
